timestamp,open,high,low,close,volume,turnover
1745689500000,0.000703,0.000703,0.000703,0.000703,0,0
1745688600000,0.000703,0.000703,0.000703,0.000703,0,0
1745687700000,0.000703,0.000703,0.000703,0.000703,0,0
1745686800000,0.000703,0.000703,0.000703,0.000703,0,0
1745685900000,0.000703,0.000703,0.000703,0.000703,0,0
1745685000000,0.000703,0.000703,0.000703,0.000703,0,0
1745684100000,0.000703,0.000703,0.000703,0.000703,0,0
1745683200000,0.000703,0.000703,0.000703,0.000703,0,0
1745682300000,0.000703,0.000703,0.000703,0.000703,0,0
1745681400000,0.000703,0.000703,0.000703,0.000703,0,0
1745680500000,0.000703,0.000703,0.000703,0.000703,0,0
1745679600000,0.000703,0.000703,0.000703,0.000703,0,0
1745678700000,0.000703,0.000703,0.000703,0.000703,0,0
1745677800000,0.000703,0.000703,0.000703,0.000703,0,0
1745676900000,0.000703,0.000703,0.000703,0.000703,0,0
1745676000000,0.000703,0.000703,0.000703,0.000703,0,0
1745675100000,0.000703,0.000703,0.000703,0.000703,0,0
1745674200000,0.000703,0.000703,0.000703,0.000703,0,0
1745673300000,0.000703,0.000703,0.000703,0.000703,0,0
1745672400000,0.000703,0.000703,0.000703,0.000703,0,0
1745671500000,0.000703,0.000703,0.000703,0.000703,0,0
1745670600000,0.000703,0.000703,0.000703,0.000703,0,0
1745669700000,0.000703,0.000703,0.000703,0.000703,0,0
1745668800000,0.000703,0.000703,0.000703,0.000703,0,0
1745667900000,0.000703,0.000703,0.000703,0.000703,0,0
1745667000000,0.000703,0.000703,0.000703,0.000703,0,0
1745666100000,0.000703,0.000703,0.000703,0.000703,0,0
1745665200000,0.000703,0.000703,0.000703,0.000703,0,0
1745664300000,0.000703,0.000703,0.000703,0.000703,0,0
1745663400000,0.000703,0.000703,0.000703,0.000703,0,0
1745662500000,0.000703,0.000703,0.000703,0.000703,0,0
1745661600000,0.000703,0.000703,0.000703,0.000703,0,0
1745660700000,0.000703,0.000703,0.000703,0.000703,0,0
1745659800000,0.000703,0.000703,0.000703,0.000703,0,0
1745658900000,0.000703,0.000703,0.000703,0.000703,0,0
1745658000000,0.000703,0.000703,0.000703,0.000703,0,0
1745657100000,0.000703,0.000703,0.000703,0.000703,0,0
1745656200000,0.000703,0.000703,0.000703,0.000703,0,0
1745655300000,0.000703,0.000703,0.000703,0.000703,0,0
1745654400000,0.000703,0.000703,0.000703,0.000703,0,0
1745653500000,0.000703,0.000703,0.000703,0.000703,0,0
1745652600000,0.000703,0.000703,0.000703,0.000703,0,0
1745651700000,0.000703,0.000703,0.000703,0.000703,0,0
1745650800000,0.000703,0.000703,0.000703,0.000703,0,0
1745649900000,0.000703,0.000703,0.000703,0.000703,0,0
1745649000000,0.000703,0.000703,0.000703,0.000703,0,0
1745648100000,0.000703,0.000703,0.000703,0.000703,0,0
1745647200000,0.000703,0.000703,0.000703,0.000703,0,0
1745646300000,0.000703,0.000703,0.000703,0.000703,0,0
1745645400000,0.000703,0.000703,0.000703,0.000703,0,0
1745644500000,0.000703,0.000703,0.000703,0.000703,0,0
1745643600000,0.000703,0.000703,0.000703,0.000703,0,0
1745642700000,0.000703,0.000703,0.000703,0.000703,0,0
1745641800000,0.000703,0.000703,0.000703,0.000703,0,0
1745640900000,0.000703,0.000703,0.000703,0.000703,0,0
1745640000000,0.000703,0.000703,0.000703,0.000703,0,0
1745639100000,0.000703,0.000703,0.000703,0.000703,0,0
1745638200000,0.000703,0.000703,0.000703,0.000703,0,0
1745637300000,0.000703,0.000703,0.000703,0.000703,0,0
1745636400000,0.000703,0.000703,0.000703,0.000703,0,0
1745635500000,0.000703,0.000703,0.000703,0.000703,0,0
1745634600000,0.000703,0.000703,0.000703,0.000703,0,0
1745633700000,0.000703,0.000703,0.000703,0.000703,0,0
